fighter,total_fights,wins,losses,win_rate,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,ko_rate,sub_rate,dec_rate,finish_rate,current_streak,best_win_streak,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,height,reach,age,stance,wc_ranked,current_rank
Oban Elliott,5,3,2,0.6,1,0,2,0,1,1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3,3,3.62,0.48,2.24,0.61,1.52,0.4,0.52,0.0,72.0,72.0,28.2,0.0,,99.0
Jonathan Micallef,2,2,0,1.0,0,1,1,0,0,0,0.0,0.5,0.5,0.5,2,2,3.96,0.41,4.22,0.56,1.13,0.66,0.75,1.1,72.0,77.0,27.0,1.0,,99.0
Kaan Ofli,4,2,2,0.5,0,1,1,1,0,1,0.0,0.5,0.5,0.5,-2,2,2.33,0.45,3.34,0.54,0.38,0.07,0.0,0.4,67.0,66.0,32.7,0.0,,99.0
Yizha,4,1,3,0.25,1,0,0,0,0,3,1.0,0.0,0.0,1.0,-2,1,3.25,0.47,2.88,0.49,3.42,0.33,0.64,0.9,67.0,71.0,29.1,0.0,,99.0
Dom Mar Fan,1,1,0,1.0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1,1,3.71,0.56,2.49,0.44,2.0,0.5,0.66,0.3,71.0,75.0,25.9,0.0,,99.0
Sangwook Kim,1,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-1,0,5.11,0.55,5.82,0.44,1.77,0.22,0.72,1.2,72.0,71.0,32.3,0.0,,99.0
Sebastian Szalay,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,4.94,0.41,2.2,0.65,0.51,0.2,0.84,0.0,66.0,66.0,32.0,0.0,,99.0
Keiichiro Nakamura,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,4.48,0.41,4.28,0.63,0.0,0.0,0.78,0.0,70.0,70.0,27.2,1.0,,99.0
Lawrence Lui,1,1,0,1.0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1,1,3.72,0.39,3.32,0.6,5.3,0.4,1.0,0.0,67.0,72.0,29.5,0.0,,99.0
Sulangrangbo,1,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-1,0,3.96,0.48,3.2,0.62,0.0,0.0,0.72,0.0,69.0,66.0,20.6,1.0,,99.0
Justin Gaethje,15,10,5,0.6666666666666666,6,0,4,3,2,0,0.6,0.0,0.4,0.6,1,4,6.48,0.58,7.05,0.51,0.33,0.4,0.74,0.0,71.0,70.0,37.3,0.0,Lightweight,4.0
Paddy Pimblett,8,7,1,0.875,2,3,2,0,0,1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,7,7,5.49,0.52,3.89,0.42,0.69,0.21,0.44,1.2,70.0,73.0,31.1,0.0,Lightweight,5.0
Sean O'Malley,15,11,4,0.7333333333333333,6,0,5,1,1,1,0.5454545454545454,0.0,0.45454545454545453,0.5454545454545454,4,4,6.05,0.6,3.4,0.6,0.24,0.42,0.6,0.2,71.0,72.0,31.3,2.0,Bantamweight,3.0
Song Yadong,16,11,5,0.6875,5,1,5,1,0,4,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.5454545454545454,4,4,4.42,0.43,3.94,0.55,0.78,0.39,0.73,0.1,68.0,67.0,28.2,0.0,Bantamweight,5.0
Derrick Lewis,31,20,11,0.6451612903225806,16,0,4,8,2,1,0.8,0.0,0.2,0.8,2,6,2.46,0.49,2.57,0.39,0.55,0.26,0.52,0.0,75.0,79.0,41.0,0.0,Heavyweight,8.0
Waldo Cortes Acosta,12,10,2,0.8333333333333334,5,0,5,0,0,2,0.5,0.0,0.5,0.5,2,5,5.54,0.49,3.38,0.56,0.44,0.57,0.72,0.1,76.0,78.0,34.4,0.0,,99.0
Rose Namajunas,19,12,7,0.631578947368421,2,3,7,1,1,5,0.16666666666666666,0.25,0.5833333333333334,0.4166666666666667,-1,3,3.5,0.41,3.38,0.63,1.47,0.48,0.62,0.3,65.0,65.0,33.6,0.0,Women's Flyweight,6.0
Rose Namajunas,19,12,7,0.631578947368421,2,3,7,1,1,5,0.16666666666666666,0.25,0.5833333333333334,0.4166666666666667,-1,3,3.5,0.41,3.38,0.63,1.47,0.48,0.62,0.3,65.0,65.0,33.6,0.0,Women's Pound-for-Pound,13.0
Natalia Silva,8,8,0,1.0,2,0,6,0,0,0,0.25,0.0,0.75,0.25,8,8,4.81,0.45,2.36,0.66,0.43,0.3,0.9,0.0,64.0,65.0,29.0,1.0,Women's Flyweight,2.0
Natalia Silva,8,8,0,1.0,2,0,6,0,0,0,0.25,0.0,0.75,0.25,8,8,4.81,0.45,2.36,0.66,0.43,0.3,0.9,0.0,64.0,65.0,29.0,1.0,Women's Pound-for-Pound,4.0
Arnold Allen,14,11,3,0.7857142857142857,2,2,7,0,0,3,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.36363636363636365,10,10,3.47,0.42,3.04,0.6,0.86,0.47,0.71,0.3,68.0,70.0,32.1,1.0,Featherweight,6.0
Jean Silva,7,6,1,0.8571428571428571,4,1,1,1,0,0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,5,5,0.73,0.22,2.93,0.52,0.0,0.0,0.0,0.0,66.0,72.0,48.4,0.0,Featherweight,10.0
Jean Silva,7,6,1,0.8571428571428571,4,1,1,1,0,0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,5,5,4.82,0.51,4.5,0.53,1.2,0.6,0.78,0.6,67.0,69.0,29.1,0.0,Featherweight,10.0
Deiveson Figueiredo,21,15,6,0.7142857142857143,4,4,7,2,1,3,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.5333333333333333,4,6,2.63,0.53,3.47,0.49,1.61,0.35,0.57,1.2,65.0,68.0,38.2,0.0,Bantamweight,6.0
Umar Nurmagomedov,9,8,1,0.8888888888888888,1,2,5,0,0,1,0.125,0.25,0.625,0.375,6,6,3.86,0.56,1.86,0.61,4.03,0.46,0.79,0.2,68.0,69.0,30.1,0.0,Bantamweight,2.0
Andrey Pulyaev,3,1,2,0.3333333333333333,1,0,0,0,0,2,1.0,0.0,0.0,1.0,-1,1,3.84,0.56,3.14,0.55,0.29,0.16,0.64,0.0,76.0,78.0,28.4,1.0,,99.0
Ateba Gautier,4,4,0,1.0,3,0,1,0,0,0,0.75,0.0,0.25,0.75,4,4,4.44,0.48,2.93,0.52,0.49,1.0,0.92,0.0,76.0,81.0,23.9,2.0,,99.0
